City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Carnarvon,AU,79.79,clear sky,-24.8667,113.6333,Hospitality Carnarvon
5,Rikitea,PF,77.63,light rain,-23.1203,-134.9692,People ThankYou
6,Atuona,PF,79.18,clear sky,-9.8,-139.0333,Villa Enata
7,Sarangani,PH,83.17,broken clouds,5.4033,125.4636,Ballistic Islet
8,East London,ZA,64.11,few clouds,-33.0153,27.9116,Tu Casa
11,Saldanha,ZA,60.13,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
13,Oriximina,BR,74.03,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
14,Vaini,TO,76.73,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Kendari,ID,83.62,overcast clouds,-3.945,122.4989,Hotel Wixel
16,Hermanus,ZA,61.36,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
19,Port Alfred,ZA,64.6,overcast clouds,-33.5906,26.891,The Halyards Hotel
20,Solok,ID,77.95,broken clouds,-0.7918,100.6593,Mami Hotel & Restaurant
23,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
26,Ponta Do Sol,PT,64.0,scattered clouds,32.6667,-17.1,Hotel do Campo
27,Saint-Georges,GD,79.12,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
28,Alta Floresta,BR,71.69,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
29,Bluff,NZ,63.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
31,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
38,Longhua,CN,82.2,broken clouds,23.6137,114.1919,Huadu Hotel
39,Ahipara,NZ,69.67,clear sky,-35.1667,173.1667,Ahipara Holiday Park
40,Acajutla,SV,81.64,overcast clouds,13.5928,-89.8275,Laureles
42,Bengkulu,ID,81.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
43,Mataura,NZ,63.48,broken clouds,-46.1927,168.8643,Ellie's Villa
45,Ouadda,CF,67.89,light rain,8.0777,22.4007,Ellie's Villa
48,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
51,Hilo,US,79.29,mist,19.7297,-155.09,Hilo Hawaiian Hotel
52,Marzuq,YE,72.79,clear sky,14.4,46.4667,Hilo Hawaiian Hotel
53,Nelson Bay,AU,71.1,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
54,Lorengau,PG,83.86,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
55,Pingliang,CN,73.53,clear sky,35.5392,106.6861,North Gate Hostel
56,Gizo,SB,86.27,few clouds,-8.103,156.8419,Imagination Island
61,Coahuayana,MX,73.49,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
62,Victoria,HK,81.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
64,Isangel,VU,81.25,clear sky,-19.55,169.2667,Tanna Lodge
65,Hithadhoo,MV,82.9,heavy intensity rain,-0.6,73.0833,Scoop Guest House
66,Mbengwi,CM,64.71,overcast clouds,6.0167,10.0,Senate Hotel
67,Pochutla,MX,83.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
68,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Acari,PE,69.26,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
74,Namibe,AO,78.17,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
75,Vostok,RU,62.91,broken clouds,46.4856,135.8833,Hotel Chik Chik Namibe
