City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,17.74,91,100,3.53,overcast clouds
1,Muyezerskiy,RU,63.9333,31.65,23.77,89,11,4.43,few clouds
2,Longyearbyen,SJ,78.2186,15.6401,19.24,68,40,2.3,scattered clouds
3,Jamestown,US,42.097,-79.2353,52.02,93,98,1.99,overcast clouds
4,Carnarvon,AU,-24.8667,113.6333,79.79,37,0,23.15,clear sky
5,Rikitea,PF,-23.1203,-134.9692,77.63,84,71,19.95,light rain
6,Atuona,PF,-9.8,-139.0333,79.18,74,10,15.59,clear sky
7,Sarangani,PH,5.4033,125.4636,83.17,77,83,17.13,broken clouds
8,East London,ZA,-33.0153,27.9116,64.11,80,17,4.03,few clouds
9,Hobart,AU,-42.8794,147.3294,57.25,74,20,5.75,few clouds
10,Srednekolymsk,RU,67.45,153.6833,33.91,97,100,2.33,overcast clouds
11,Saldanha,ZA,-33.0117,17.9442,60.13,70,50,2.91,scattered clouds
12,Mount Gambier,AU,-37.8333,140.7667,48.11,87,75,11.5,heavy intensity rain
13,Oriximina,BR,-1.7656,-55.8661,74.03,95,99,2.51,overcast clouds
14,Vaini,TO,-21.2,-175.2,76.73,76,32,11.03,scattered clouds
15,Kendari,ID,-3.945,122.4989,83.62,80,99,0.58,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,61.36,80,16,4.38,few clouds
17,Giulesti,RO,47.8167,23.9333,46.18,88,82,3.29,broken clouds
18,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,57,20,11.18,few clouds
19,Port Alfred,ZA,-33.5906,26.891,64.6,83,93,5.19,overcast clouds
20,Solok,ID,-0.7918,100.6593,77.95,63,79,2.01,broken clouds
21,Thompson,CA,55.7435,-97.8558,31.87,96,100,7.81,overcast clouds
22,Ossora,RU,59.2353,163.0719,33.01,95,27,3.74,scattered clouds
23,Mahebourg,MU,-20.4081,57.7,76.24,81,33,20.29,light rain
24,Georgetown,MY,5.4112,100.3354,85.93,79,20,0.0,few clouds
25,Bredasdorp,ZA,-34.5322,20.0403,58.14,92,100,3.53,overcast clouds
26,Ponta Do Sol,PT,32.6667,-17.1,64.0,70,26,6.64,scattered clouds
27,Saint-Georges,GD,12.0564,-61.7485,79.12,78,49,13.91,scattered clouds
28,Alta Floresta,BR,-9.8756,-56.0861,71.69,93,59,2.95,light rain
29,Bluff,NZ,-46.6,168.3333,63.81,71,60,4.7,broken clouds
30,Tasiilaq,GL,65.6145,-37.6368,23.16,81,70,5.06,broken clouds
31,Cabo San Lucas,MX,22.8909,-109.9124,76.6,63,4,3.0,clear sky
32,Severo-Kurilsk,RU,50.6789,156.125,35.74,90,76,10.0,broken clouds
33,Aklavik,CA,68.2191,-135.0107,30.38,83,100,12.62,overcast clouds
34,Avarua,CK,-21.2078,-159.775,82.45,74,20,9.22,few clouds
35,Beringovskiy,RU,63.05,179.3167,28.29,75,58,10.22,broken clouds
36,Luderitz,NA,-26.6481,15.1594,67.93,47,0,3.29,clear sky
37,Sorland,NO,67.667,12.6934,35.44,100,100,26.93,light rain
38,Longhua,CN,23.6137,114.1919,82.2,58,75,1.5,broken clouds
39,Ahipara,NZ,-35.1667,173.1667,69.67,60,6,6.78,clear sky
40,Acajutla,SV,13.5928,-89.8275,81.64,79,95,3.74,overcast clouds
41,Norman Wells,CA,65.282,-126.8329,37.44,87,100,9.22,overcast clouds
42,Bengkulu,ID,-3.8004,102.2655,81.21,74,79,4.94,broken clouds
43,Mataura,NZ,-46.1927,168.8643,63.48,53,53,2.86,broken clouds
44,Nanortalik,GL,60.1432,-45.2371,31.21,87,100,6.33,overcast clouds
45,Ouadda,CF,8.0777,22.4007,67.89,95,100,4.0,light rain
46,Lavrentiya,RU,65.5833,-171.0,29.32,77,35,5.55,scattered clouds
