City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Moresby,PG,2022-05-04 03:34:31,-9.4431,147.1797,89.02,66,40,17.27
1,Kapaa,US,2022-05-04 03:34:31,22.0752,-159.319,80.58,81,100,18.41
2,Port Alfred,ZA,2022-05-04 03:34:32,-33.5906,26.891,61.18,96,24,8.03
3,Atuona,PF,2022-05-04 03:34:32,-9.8,-139.0333,79.23,79,100,18.61
4,Busselton,AU,2022-05-04 03:34:32,-33.65,115.3333,63.55,44,4,13.58
5,Hereford,GB,2022-05-04 03:34:33,52.0568,-2.7148,52.0,95,100,2.3
6,Geraldton,AU,2022-05-04 03:34:33,-28.7667,114.6,73.81,43,5,20.71
7,Hithadhoo,MV,2022-05-04 03:34:34,-0.6,73.0833,80.19,86,100,23.55
8,Talnakh,RU,2022-05-04 03:34:34,69.4865,88.3972,20.21,91,100,6.76
9,Bluff,NZ,2022-05-04 03:34:35,-46.6,168.3333,63.81,71,29,3.4
10,Puerto Escondido,MX,2022-05-04 03:34:35,15.85,-97.0667,83.23,69,40,8.05
11,Bengkulu,ID,2022-05-04 03:34:36,-3.8004,102.2655,84.06,69,92,7.09
12,Ketchikan,US,2022-05-04 03:33:11,55.3422,-131.6461,34.27,100,75,11.5
13,Kjollefjord,NO,2022-05-04 03:34:36,70.9457,27.3465,28.45,80,100,16.11
14,Ushuaia,AR,2022-05-04 03:33:31,-54.8,-68.3,38.86,70,20,6.91
15,Maningrida,AU,2022-05-04 03:34:37,-12.0667,134.2667,89.01,54,66,11.86
16,Punta Arenas,CL,2022-05-04 03:34:37,-53.15,-70.9167,41.11,87,75,27.63
17,San Quintin,MX,2022-05-04 03:34:38,30.4833,-115.95,56.97,81,15,7.02
18,Hamilton,US,2022-05-04 03:31:16,39.1834,-84.5333,65.25,88,100,17.27
19,Evensk,RU,2022-05-04 03:34:38,61.95,159.2333,32.52,84,98,4.21
20,New Norfolk,AU,2022-05-04 03:34:38,-42.7826,147.0587,57.92,85,100,2.86
21,Esperance,AU,2022-05-04 03:34:39,-33.8667,121.9,60.64,54,100,11.9
22,Kenai,US,2022-05-04 03:34:39,60.5544,-151.2583,52.03,53,100,12.66
23,Butaritari,KI,2022-05-04 03:34:40,3.0707,172.7902,81.84,75,22,11.59
24,Zhangye,CN,2022-05-04 03:34:40,38.9342,100.4517,80.53,9,47,4.68
25,Cape Town,ZA,2022-05-04 03:34:25,-33.9258,18.4232,64.9,86,14,8.99
26,Pangkalanbuun,ID,2022-05-04 03:33:51,-2.6833,111.6167,84.99,80,93,0.96
27,North Platte,US,2022-05-04 03:34:41,41.1239,-100.7654,44.49,82,75,5.01
28,East London,ZA,2022-05-04 03:34:41,-33.0153,27.9116,63.54,100,40,4.61
29,Torbay,CA,2022-05-04 03:30:08,47.6666,-52.7314,39.27,92,100,13.8
30,Ilulissat,GL,2022-05-04 03:34:42,69.2167,-51.1,24.82,86,100,0.0
31,Wasilla,US,2022-05-04 03:33:33,61.5814,-149.4394,51.78,51,100,19.57
32,Neryungri,RU,2022-05-04 03:34:42,56.6709,124.6491,32.23,94,100,6.17
33,Belaya Gora,RU,2022-05-04 03:34:43,68.5333,146.4167,33.03,100,100,2.86
34,Tasiilaq,GL,2022-05-04 03:34:43,65.6145,-37.6368,23.16,93,100,6.24
35,Hobart,AU,2022-05-04 03:29:56,-42.8794,147.3294,58.26,80,100,8.05
36,Charters Towers,AU,2022-05-04 03:34:37,-20.1,146.2667,83.59,43,17,5.21
37,Tuktoyaktuk,CA,2022-05-04 03:34:44,69.4541,-133.0374,23.0,100,100,13.8
38,Vaini,TO,2022-05-04 03:34:44,-21.2,-175.2,80.76,69,75,8.05
39,Avarua,CK,2022-05-04 03:34:44,-21.2078,-159.775,80.65,83,75,6.91
40,Codrington,AU,2022-05-04 03:34:45,-38.2667,141.9667,58.77,44,99,16.35
41,Xai-Xai,MZ,2022-05-04 03:34:45,-25.0519,33.6442,65.14,91,1,1.07
42,Hermanus,ZA,2022-05-04 03:34:46,-34.4187,19.2345,61.81,93,10,7.72
43,Upernavik,GL,2022-05-04 03:34:46,72.7868,-56.1549,-2.16,99,72,4.38
44,Puerto Ayora,EC,2022-05-04 03:34:46,-0.7393,-90.3518,71.91,90,72,5.97
45,Clyde River,CA,2022-05-04 03:34:47,70.4692,-68.5914,10.63,67,40,9.22
46,Lagoa,PT,2022-05-04 03:34:47,39.05,-27.9833,61.12,88,40,7.2
47,Kadyy,RU,2022-05-04 03:34:48,57.787,43.1903,41.32,70,83,7.49
48,Castro,BR,2022-05-04 03:30:59,-24.7911,-50.0119,58.17,97,100,8.16
49,Licheng,CN,2022-05-04 03:34:48,23.2955,113.8284,80.91,50,39,4.0
50,Boundiali,CI,2022-05-04 03:34:49,9.5217,-6.4869,73.92,72,80,4.32
51,Nikolskoye,RU,2022-05-04 03:34:49,59.7035,30.7861,36.88,91,100,8.81
